Date,Open,High,Low,Close,Volume,Dividends,Stock splits,Ticker
2022-12-06,757.8157149339461,763.827096930786,757.342375948978,762.6201171875,12353092,0.0,0.0,HDFCBANK.NS
2022-12-07,764.0401462647712,766.1464816690436,759.4487233693498,762.2887573242188,11674720,0.0,0.0,HDFCBANK.NS
2022-12-08,762.0757892699328,769.6492132626774,759.7090942722001,766.572509765625,14803634,0.0,0.0,HDFCBANK.NS
2022-12-09,769.6491658684815,773.8382042003839,766.8091320460886,772.03955078125,11963384,0.0,0.0,HDFCBANK.NS
2022-12-12,769.175858298182,782.7133418481023,767.4718494913106,778.0509643554688,14434808,0.0,0.0,HDFCBANK.NS
2022-12-13,781.0093651173817,784.322738181516,778.6426700715715,780.2047119140625,17031702,0.0,0.0,HDFCBANK.NS
2022-12-14,782.4292928873821,788.3460298269417,781.0092760218877,786.8076782226562,14227640,0.0,0.0,HDFCBANK.NS
2022-12-15,784.3464018645261,790.1921268749417,770.146232067255,772.3945922851562,18182648,0.0,0.0,HDFCBANK.NS
2022-12-16,766.8328578314446,778.6899649239426,761.6024388526127,776.1102905273438,14647958,0.0,0.0,HDFCBANK.NS
2022-12-19,778.169287755073,779.4236476156718,769.7438307486328,778.5242919921875,9604542,0.0,0.0,HDFCBANK.NS
2022-12-20,766.9038071781762,774.5719334714851,766.9038071781762,773.1519165039062,7174698,0.0,0.0,HDFCBANK.NS
2022-12-21,776.7493628398976,778.548074299987,760.4428560619455,765.6732177734375,9269198,0.0,0.0,HDFCBANK.NS
2022-12-22,767.850425686671,770.359145247349,761.6023746254898,763.0460815429688,9747096,0.0,0.0,HDFCBANK.NS
2022-12-23,751.1890303820713,759.3068061921712,750.4553317833038,756.2301025390625,10693152,0.0,0.0,HDFCBANK.NS
2022-12-26,757.105686415071,775.8025758263841,752.6089661769071,771.2821655273438,9907322,0.0,0.0,HDFCBANK.NS
2022-12-27,772.9625269730042,774.3588538023118,763.7324171897993,772.0631713867188,7926772,0.0,0.0,HDFCBANK.NS
2022-12-28,768.2764094267546,772.9624764124482,768.2764094267546,771.4478149414062,8691870,0.0,0.0,HDFCBANK.NS
2022-12-29,766.856535519368,777.9326801546684,762.5491619891518,776.891357421875,11012896,0.0,0.0,HDFCBANK.NS
